Nome do campo,Nome como consta na etiqueta adesiva local,Valores aceitos,Exemplo,Obrigatório?
fulfillment_availability#1.restock_date,Data de re-estoque (BR),Data em que o produto será reabastecido,2020-05-05,Recomendado
fulfillment_availability#1.is_inventory_available,Inventário sempre disponível (BR),O inventário sempre disponível é uma alternativa à quantidade que permite que o inventário nunca se esgote. Ativar ou desativar irá ativar ou desativar esta funcionalidade. Observe que uma quantidade não pode ser especificada quando fornecida.,Desativado,Condicionalmente obrigatório
purchasable_offer[marketplace_id=A2Q3Y263D00KWC][audience=ALL]#1.our_price#1.schedule#1.value_with_tax,"Preço padrão BRL (Vender na Amazon, BR)",Indique o preço base do item pelo qual ele está sendo oferecido ao segmento de clientes pretendido (Vender na Amazon),249.99,Recomendado
purchasable_offer[marketplace_id=A2Q3Y263D00KWC][audience=ALL]#1.automated_pricing_merchandising_rule_plan#1.merchandising_rule.rule_id,"Regra de precificação (Vender na Amazon, BR)",A regra de precificação que automatizará o preço desta oferta (Vender na Amazon),Regra do preço competitivo pela Amazon,Recomendado
purchasable_offer[marketplace_id=A2Q3Y263D00KWC][audience=ALL]#1.minimum_seller_allowed_price#1.schedule#1.value_with_tax,"Preço mínimo permitido pelo vendedor (Vender na Amazon, BR)",Forneça o preço mínimo permitido pelo vendedor (Vender na Amazon),259.99,Recomendado
purchasable_offer[marketplace_id=A2Q3Y263D00KWC][audience=ALL]#1.maximum_seller_allowed_price#1.schedule#1.value_with_tax,"Preço máximo permitido pelo vendedor (Vender na Amazon, BR)",Forneça o preço máximo permitido pelo vendedor (Vender na Amazon),259.99,Recomendado
purchasable_offer[marketplace_id=A2Q3Y263D00KWC][audience=ALL]#1.discounted_price#1.schedule#1.end_at,"Data de término da venda (Vender na Amazon, BR)",A última data em que o preço de venda substituirá o preço padrão do item. O preço padrão do produto será exibido após 00:00 da data de término da venda. (Vender na Amazon),2017-07-01,Recomendado
purchasable_offer[marketplace_id=A2Q3Y263D00KWC][audience=ALL]#1.discounted_price#1.schedule#1.start_at,"Data inicial de venda (Vender na Amazon, BR)",A data em que o preço de venda começará a substituir o preço padrão do produto. O preço de venda será exibido após 00:00 de venda a partir da data. (Vender na Amazon),2017-06-30,Recomendado
purchasable_offer[marketplace_id=A2Q3Y263D00KWC][audience=ALL]#1.discounted_price#1.schedule#1.value_with_tax,"Preço de venda BRL (Vender na Amazon, BR)",O preço pelo qual você oferece o produto para venda. (Vender na Amazon),219.99,Recomendado
purchasable_offer[marketplace_id=A2Q3Y263D00KWC][audience=ALL]#1.start_at.value,"Data de lançamento da oferta (Vender na Amazon, BR)",Data de início do preço (Vender na Amazon),2017-06-30,Recomendado
purchasable_offer[marketplace_id=A2Q3Y263D00KWC][audience=ALL]#1.end_at.value,"Fim da data de venda (Vender na Amazon, BR)",Data final do preço (Vender na Amazon),2017-07-01,Recomendado
product_description[marketplace_id=A2Q3Y263D00KWC][language_tag=pt_BR]#1.value,Descrição do Produto,"Forneça um texto descrevendo o produto. Esta informação será exibida em forma de parágrafo na página do seu produto. Inclua as características do produto, os detalhes da linha do produto e as especificações. Não use apenas letras maiúsculas.","Esta linda peça de decoração de parede é pintada à mão sobre uma tela de alta qualidade e está pronta para pendurar. Retratando uma cena natural inspiradora em tons relaxantes de azul e verde, esta tela para pendurar na parede proporcionará uma sensação de tranquilidade e adornará qualquer espaço da sua casa ou do seu escritório. Produzida à mão por artistas locais usando materiais sustentáveis de alta qualidade. Cada peça é única e produzida sob encomenda. Apoia pequenas empresas e a comunidade artística local. É um lindo presente para qualquer ocasião especial.",Obrigatório
bullet_point[marketplace_id=A2Q3Y263D00KWC][language_tag=pt_BR]#1.value,Tópico,"Breve texto descritivo, através de uma lista de pontos, relativo a um aspecto específico do produto. São exibidos logo abaixo ou ao lado da foto do produto. É útil colocar informações interessantes e importantes nesses campos. NÃO use apenas letras maiúsculas ou abreviações. NÃO coloque informação sobre a fábrica, instruções de manutenção ou país, pois esses são preenchidos de forma diferente.",Desenho floral com formatos de flores,Obrigatório
generic_keyword[marketplace_id=A2Q3Y263D00KWC][language_tag=pt_BR]#1.value,Palavras-chave de Pesquisa,"Forneça quaisquer termos que possam ser relevantes para as pesquisas dos clientes. Sem repetição, sem nomes de marca de concorrentes ou ASINs.",Calçados para esportes aquáticos; Derek Rose; Elétrico; Wi-Fi; Banana,Opcional
lifestyle[marketplace_id=A2Q3Y263D00KWC][language_tag=pt_BR]#1.value,Estilo de vida,Informe o código de vestimenta para o qual o produto foi projetado. O código de vestimenta representa níveis de formalidade.,Atlético,Opcional
style[marketplace_id=A2Q3Y263D00KWC][language_tag=pt_BR]#1.value,Estilo,Forneça o estilo do artigo. Estilo refere-se às escolhas estéticas de uma pessoa ou um grupo de pessoas. Ele descreve a representação visual distintiva de um artigo,Art Deco,Condicionalmente obrigatório
department[marketplace_id=A2Q3Y263D00KWC][language_tag=pt_BR]#1.value,Nome do departamento,Forneça um departamento apropriado para o item,Mulheres,Condicionalmente obrigatório
target_gender[marketplace_id=A2Q3Y263D00KWC]#1.value,Gênero do público-alvo,Informe o gênero do público-alvo do produto,"Masculino, Feminino, Unissex",Condicionalmente obrigatório
age_range_description[marketplace_id=A2Q3Y263D00KWC][language_tag=pt_BR]#1.value,Descrição da faixa etária,Especifique uma descrição de faixa etária apropriada para o item,"Adulto, Criança",Condicionalmente obrigatório
apparel_size[marketplace_id=A2Q3Y263D00KWC]#1.size_system,Sistema de tamanho de vestuário,Forneça o sistema de tamanho de vestuário.,"Sistema de tamanhos CAN, MEX, EUA",Condicionalmente obrigatório
apparel_size[marketplace_id=A2Q3Y263D00KWC]#1.size_class,Classe de Tamanho do Vestuário,Forneça a classe de tamanho do vestuário.,Alfa,Condicionalmente obrigatório
apparel_size[marketplace_id=A2Q3Y263D00KWC]#1.size,Valor do tamanho do vestuário,Forneça o valor do tamanho associado ao sistema e à classe de tamanho.,"9, Médio, 9 meses",Condicionalmente obrigatório
apparel_size[marketplace_id=A2Q3Y263D00KWC]#1.size_to,Faixa do Tamanho – valor final,Forneça o tamanho ao valor associado com o sistema e à classe de tamanho. O valor deve ser maior do que o valor do tamanho.,"9,5, Grande, 12 meses",Condicionalmente obrigatório
apparel_size[marketplace_id=A2Q3Y263D00KWC]#1.body_type,Tipo de Corpo,"Forneça o tipo de corpo para o item de vestuário. Nenhum tipo de tamanho especial, escolha ""Regular”.",Magro,Condicionalmente obrigatório
apparel_size[marketplace_id=A2Q3Y263D00KWC]#1.height_type,Tipo da Altura,"Forneça a altura para o item de vestuário. Nenhum tipo de caractere especial, escolha ""Regular"".",Normal,Condicionalmente obrigatório
material[marketplace_id=A2Q3Y263D00KWC][language_tag=pt_BR]#1.value,Material,Especifique a matéria-prima usada para fabricar o item,Plástico,Condicionalmente obrigatório
fabric_type[marketplace_id=A2Q3Y263D00KWC][language_tag=pt_BR]#1.value,Tipo de tecido,"Liste todos os tecidos separados por “,”. Indique a porcentagem de composição. Sempre inclua “Viscose” ou “Rayon”, em vez de “Bambu” e “Azlon” para Soja","60% Algodão, 40% Poliéster",Obrigatório
pattern_type[marketplace_id=A2Q3Y263D00KWC][language_tag=pt_BR]#1.value,Padrão,Forneça uma descrição da estampa do item,Xadrez,Recomendado
number_of_items[marketplace_id=A2Q3Y263D00KWC]#1.value,Quantidade de itens,Forneça o número total de itens idênticos na unidade de venda destinados ao consumidor,5,Condicionalmente obrigatório
item_package_quantity[marketplace_id=A2Q3Y263D00KWC]#1.value,Quantidade de pacotes do item,Forneça o número de pacotes vendidos como parte de um único item Um ASIN que vende 5 caixas de clipes de papel com 100 clipes de papel em cada caixa teria uma quantidade de pacotes do item = '5',1,Condicionalmente obrigatório
subject_character[marketplace_id=A2Q3Y263D00KWC][language_tag=pt_BR]#1.value,Assunto,Forneça o caráter principal do item,Batman,Recomendado
special_size_type[marketplace_id=A2Q3Y263D00KWC][language_tag=pt_BR]#1.value,Tamanho especial,Especifique o tipo de tamanho especial do item,"Padrão, Plus size",Condicionalmente obrigatório
color[marketplace_id=A2Q3Y263D00KWC][language_tag=pt_BR]#1.standardized_values#1,Mapa de cores,Selecione a cor principal do produto.,Vermelho,Condicionalmente obrigatório
color[marketplace_id=A2Q3Y263D00KWC][language_tag=pt_BR]#1.value,Cor,Forneça a cor do produto,Caramelo,Condicionalmente obrigatório
item_length_description[marketplace_id=A2Q3Y263D00KWC][language_tag=pt_BR]#1.value,Descrição do comprimento do item,Forneça uma descrição textual do comprimento do artigo. O comprimento normalmente refere-se à dimensão mais longa ou vertical de um item.,"Mini, Altura do Joelho",Recomendado
metal_type[marketplace_id=A2Q3Y263D00KWC][language_tag=pt_BR]#1.value,Tipo de metal,Forneça o tipo de metal do item.,"Bronze, Cobre platinado",Condicionalmente obrigatório
gem_type[marketplace_id=A2Q3Y263D00KWC][language_tag=pt_BR]#1.value,Tipo de pedra preciosa,Insira o tipo de pedra preciosa associada ao seu produto,Ágata azul,Condicionalmente obrigatório
occasion_type[marketplace_id=A2Q3Y263D00KWC][language_tag=pt_BR]#1.value,Ocasião,Informe a ocasião para a qual o produto foi projetado. Os Tipos De Ocasião Incluem Épocas Festivas E Eventos Importantes Da Vida.,"Aniversário, comemoração, casamento",Recomendado
part_number[marketplace_id=A2Q3Y263D00KWC]#1.value,Número da peça,"Forneça o número da peça. Para muitos produtos, este número será idêntico ao número do modelo; no entanto, alguns fabricantes diferenciam o número da peça do número do modelo",RIV001,Condicionalmente obrigatório
item_shape[marketplace_id=A2Q3Y263D00KWC][language_tag=pt_BR]#1.value,Formato do item,Especifique o formato do item,Redondo,Condicionalmente obrigatório
theme[marketplace_id=A2Q3Y263D00KWC][language_tag=pt_BR]#1.value,Tema,"Informe o assunto, conceito, tópico, tema ou ideia principal de alto nível de um item.",Animais,Recomendado
ring[marketplace_id=A2Q3Y263D00KWC]#1.size[language_tag=pt_BR]#1.value,Tamanho do anel,Forneça o tamanho do anel,"4,25; 7,5; 8,75",Condicionalmente obrigatório
fit_type[marketplace_id=A2Q3Y263D00KWC][language_tag=pt_BR]#1.value,Tipo de ajuste,Especifique o tipo de ajuste do item,Confortável,Condicionalmente obrigatório
pocket_description[marketplace_id=A2Q3Y263D00KWC][language_tag=pt_BR]#1.value,Descrição do bolso,Fornecer a descrição do bolso,5 bolsos básicos,Recomendado
care_instructions[marketplace_id=A2Q3Y263D00KWC][language_tag=pt_BR]#1.value,Instruções de Cuidado,Forneça instruções relacionadas aos cuidados com o item,"Lavar à mão, Lavar à máquina",Condicionalmente obrigatório
magnification_strength[marketplace_id=A2Q3Y263D00KWC]#1.value,Capacidade de ampliação,Forneça a capacidade de ampliação do item,"1, 1.5, 2",Condicionalmente obrigatório
magnification_strength[marketplace_id=A2Q3Y263D00KWC]#1.unit,Unidade de capacidade de ampliação,Selecione a unidade correspondente,diopters,Condicionalmente obrigatório
shaft[marketplace_id=A2Q3Y263D00KWC]#1.material[language_tag=pt_BR]#1.value,Material da vara,Forneça o material adequado da vara,"Grafite, Aço",Condicionalmente obrigatório
edition[marketplace_id=A2Q3Y263D00KWC][language_tag=pt_BR]#1.value,Edição,Forneça a versão ou a edição do item,"Edição do professor, versão integral",Condicionalmente obrigatório
configuration[marketplace_id=A2Q3Y263D00KWC][language_tag=pt_BR]#1.value,Configuração,Indique a configuração do item,Configuração AWD,Condicionalmente obrigatório
platform_for_display[marketplace_id=A2Q3Y263D00KWC][language_tag=pt_BR]#1.value,Plataforma de exibição,Forneça a plataforma associada ao produto.,"Android, Mac, PC",Condicionalmente obrigatório
wireless_provider[marketplace_id=A2Q3Y263D00KWC]#1.value,Provedor de serviços sem fio,Especifique o provedor de serviços sem fio exigido ou suportado pelo item,"AT&T, Sprint, Verizon Wireless",Condicionalmente obrigatório
lens[marketplace_id=A2Q3Y263D00KWC]#1.color[language_tag=pt_BR]#1.value,Cor das lentes,Forneça a cor da lente,"Marrom, azul-celeste/cinza, azul, esmeralda",Condicionalmente obrigatório
lens[marketplace_id=A2Q3Y263D00KWC]#1.width[language_tag=pt_BR]#1.value,Largura da lente,Forneça a largura da lente,29,Condicionalmente obrigatório
lens[marketplace_id=A2Q3Y263D00KWC]#1.width[language_tag=pt_BR]#1.unit,Unidade de largura da lente,Selecione a unidade correspondente,milímetros,Opcional
item_display_dimensions[marketplace_id=A2Q3Y263D00KWC]#1.depth.value,Profundidade da tela do item,Forneça o componente numérico da profundidade física do produto sem embalagem e montado,"2.75, 3.00",Condicionalmente obrigatório
item_display_dimensions[marketplace_id=A2Q3Y263D00KWC]#1.depth.unit,Unidade de profundidade da tela do item,Selecione a unidade correspondente,"Centímetros, Milímetros",Condicionalmente obrigatório
item_display_dimensions[marketplace_id=A2Q3Y263D00KWC]#1.diameter.value,Diâmetro da tela do item,Forneça o componente numérico do diâmetro do produto sem embalagem ou montado,"2.75, 3.00",Condicionalmente obrigatório
item_display_dimensions[marketplace_id=A2Q3Y263D00KWC]#1.diameter.unit,Unidade de diâmetro da tela do item,Selecione a unidade correspondente,"Centímetros, Milímetros",Condicionalmente obrigatório
item_display_dimensions[marketplace_id=A2Q3Y263D00KWC]#1.height.value,Altura da tela do item,Forneça o componente numérico da altura do produto sem embalagem e totalmente montado,1.8,Condicionalmente obrigatório
item_display_dimensions[marketplace_id=A2Q3Y263D00KWC]#1.height.unit,Unidade de altura da tela do item,Selecione a unidade correspondente,"Centímetros, Milímetros",Condicionalmente obrigatório
item_display_dimensions[marketplace_id=A2Q3Y263D00KWC]#1.length.value,Comprimento da tela do item,Forneça o componente numérico do comprimento do produto sem embalagem e totalmente montado,5.7,Condicionalmente obrigatório
item_display_dimensions[marketplace_id=A2Q3Y263D00KWC]#1.length.unit,Unidade de comprimento da tela do item,Selecione a unidade correspondente,"Centímetros, Milímetros",Condicionalmente obrigatório
item_display_dimensions[marketplace_id=A2Q3Y263D00KWC]#1.width.value,Largura da tela do item,Forneça o componente numérico da largura do produto sem embalagem e totalmente montado,3.5,Condicionalmente obrigatório
item_display_dimensions[marketplace_id=A2Q3Y263D00KWC]#1.width.unit,Unidade de largura da tela do item,Selecione a unidade correspondente,"Centímetros, Milímetros",Condicionalmente obrigatório
service_provider[marketplace_id=A2Q3Y263D00KWC][language_tag=pt_BR]#1.value,Provedor de serviços,Indica o provedor de serviços exigido ou suportado pelo item,"AT&T, Sprint, Verizon Wireless",Condicionalmente obrigatório
flavor[marketplace_id=A2Q3Y263D00KWC][language_tag=pt_BR]#1.value,Sabor,Especifique o sabor do produto,"Extra Chocolate, Cereja, Chocolate, Baunilha",Condicionalmente obrigatório
wattage[marketplace_id=A2Q3Y263D00KWC]#1.value,Potência,Forneça a taxa de potência como um valor numérico,50,Condicionalmente obrigatório
wattage[marketplace_id=A2Q3Y263D00KWC]#1.unit,Unidade de potência,"Selecione a unidade de medida para a Potência. Se um valor for fornecido para Potência, você também deverá inserir a unidade correspondente.",Watts,Opcional
memory_storage_capacity[marketplace_id=A2Q3Y263D00KWC]#1.value,Capacidade de armazenamento da memória,Forneça a capacidade de armazenamento da memória do item como um valor numérico,"1, 15, 1000",Condicionalmente obrigatório
memory_storage_capacity[marketplace_id=A2Q3Y263D00KWC]#1.unit,Unidade de capacidade de armazenamento da memória,Selecione a unidade correspondente,"MB, KB, GB",Condicionalmente obrigatório
customer_package_type[marketplace_id=A2Q3Y263D00KWC][language_tag=pt_BR]#1.value,Tipo de embalagem,Forneça o tipo de pacote de produtos,"Embalagem padrão, Amazon Livre de Frustrações",Condicionalmente obrigatório
pattern[marketplace_id=A2Q3Y263D00KWC][language_tag=pt_BR]#1.value,Estampa,Informe o design decorativo repetido mais proeminente do item,"Floral, geométrico, de bolinhas",Condicionalmente obrigatório
unit_count[marketplace_id=A2Q3Y263D00KWC]#1.type[language_tag=pt_BR].value,Tipo de contagem de unidades,Especifique o tipo de unidade que um cliente pode usar para tomar uma decisão de compra. Uma garrafa de refrigerante pode vir em vários tamanhos e é medida em onças de fluido; uma caixa de parafusos é medida pela contagem de parafusos na caixa.,Cada,Condicionalmente obrigatório
unit_count[marketplace_id=A2Q3Y263D00KWC]#1.value,Contagem de unidades,Especifique a quantidade de unidades que o produto possui. Isso pode ser usado para calcular o Preço por unidade do produto.,5,Condicionalmente obrigatório
product_site_launch_date[marketplace_id=A2Q3Y263D00KWC]#1.value,Data de lançamento do produto no site,Forneça a data em que o produto será lançado. Ela deve ser exibida primeiro no site da Amazon (formato AAAA-MM-DD). A PSLD não influencia na capacidade de compra ou na lógica de pré-venda; ela é usada para indicar quando um produto estará visível e poderá ser pesquisado no site da Amazon,2017-07-20,Opcional
golf_club_flex[marketplace_id=A2Q3Y263D00KWC][language_tag=pt_BR]#1.value,Flexibilidade do taco de golfe,Forneça o tipo de flexibilidade do taco de golfe,"Normal, Dura",Condicionalmente obrigatório
golf_club_loft[marketplace_id=A2Q3Y263D00KWC]#1.value,Ângulo de batimento do taco de golfe,Insira o ângulo do batimento como um valor entre 0 a 90,"8.5, 9.5",Condicionalmente obrigatório
golf_club_loft[marketplace_id=A2Q3Y263D00KWC]#1.unit,Unidade do ângulo de batimento do taco de golfe,Selecione a unidade correspondente,Graus,Condicionalmente obrigatório
league_name[marketplace_id=A2Q3Y263D00KWC][language_tag=pt_BR]#1.value,Nome da liga,Forneça o nome da liga associada ao produto.,NBA,Recomendado
team_name[marketplace_id=A2Q3Y263D00KWC][language_tag=pt_BR]#1.value,Nome do time,Insira o nome do tipo do produto,"Seattle Seahawks, Wisconsin Badgers",Condicionalmente obrigatório
athlete[marketplace_id=A2Q3Y263D00KWC][language_tag=pt_BR]#1.value,Atleta,Nome do atleta participando no evento,"Michael Jordan, Larry Bird",Condicionalmente obrigatório
scent[marketplace_id=A2Q3Y263D00KWC][language_tag=pt_BR]#1.value,Aroma,Forneça uma descrição do aroma do item,"Lavanda, Almíscar",Condicionalmente obrigatório
hand_orientation[marketplace_id=A2Q3Y263D00KWC][language_tag=pt_BR]#1.value,Orientação de uso,"Forneça o tipo de orientação de uso do item; canhoto, destro ou ambidestro","Canhoto, Destro",Condicionalmente obrigatório
band[marketplace_id=A2Q3Y263D00KWC]#1.color[language_tag=pt_BR]#1.value,Cor da pulseira,Descreve a cor da pulseira.,Preto,Condicionalmente obrigatório
cup[marketplace_id=A2Q3Y263D00KWC]#1.size[language_tag=pt_BR]#1.value,Tamanho do copo,Forneça o tamanho do copo para o qual o produto foi projetado,"A, B, DD",Condicionalmente obrigatório
